text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Wait a minute, hold on.  Three…",teacher,6,0,,,0.0,انتظر لحظة، انتظر,"Wait a minute, wait a minute."
30.,student,1,0,,,,ثلاثون,thirty-three.
"No, 3, 6, 9, 12.  We’re counting by three. We’re skip counting by three.  3…",teacher,15,0,,,0.0,لا، ثلاثة، ستة، ستة، ستة، إثنان، سنعد إلى ثلاثة، سنغادر العد إلى ثلاثة، ثلاثة...,"No, three, six, six, six, two, we'll count to three, we'll count to three, three..."
"6, 9, 12, 15.",multiple students,4,0,,,,6، 9، 12، 15,"6, 9, 12, 15"
You all aren’t paying attention.,teacher,5,0,,,0.0,أنتم جميعاً لا تهتمون,All of you don't care.
"18, 18, 18, 181 21. 24. 27.",student,7,0,,,,18، 18، 18، 181 21، 24. 27.,"18, 18, 18, 181 21, 24. 27."
27.,teacher,1,0,1.0,,0.0,27.,27. 27.
30. 33.,student,2,0,,,,٣٠ ٣٣,30 33
"33, right.  That way we build to the 10th digit.  Let’s start again.  If we add our 10th, then it becomes what? 30… Right? Pay attention.  Hold on.   Hold on, Student K.  30.  Look, look, wait for your turn.  Look at me.",teacher,42,2,,,0.0,33، صحيح، بهذه الطريقة سنبني على الرقم العاشر، دعونا نبدأ من جديد، إذا أضفنا الرقم العاشر، ثم يصبح ماذا؟ 30... صحيح؟ انتبه. انتظر. انتظر. انتظر، الطالب K. 30. انظر، انظر، انتظر دورك. انظر إلي.,"33, right, this way we're going to build on the number ten, let's start over, if we add the number ten, then it becomes what? 30... right? attention. wait. wait. wait. wait. wait, student K. 30. look, look, wait your turn. look at me."
30. 60. 90. 120.,student,4,0,,,,30، 60، 90، 120,"30, 60, 90, 120"
Good job.,teacher,2,0,,,0.0,عمل جيد,Good practice is good practice.
150.,student,1,0,,,,150.,150.
150.,teacher,1,0,,,0.0,150.,150.
180.,student,1,0,,,,180.,180.
180.  So is that 6? Is that 6?,teacher,8,0,,,1.0,هل هذا 6؟,Is that 6?
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"6, that’s it.  And then, let’s continue.",teacher,7,0,,,0.0,ستة، هذا هو. وبعد ذلك، دعونا نستمر.,"Six, that's it, and after that, let's go on."
110.,student,1,0,,,,110.,110.
No!,multiple students,1,0,,,,لا، لا!,"No, no, no!"
"No, no, wait a minute, we’re counting by 30, right?",teacher,10,0,,,0.0,لا، لا، انتظر لحظة، نحن نحسب إلى 30، أليس كذلك؟,"No, no, wait a minute, we're counting to 30, right?"
"180, 210? 230.",student,3,0,,,,180، 210؟ 230,"180, 210? 230 180?"
"210, 40, 24…",teacher,3,0,,,0.0,210، 40، 24...,"210, 40, 24..."
270. And then 300.,student,4,0,,,,و بعد ذلك 300,And then 300.
"Now, this is the kind of [inaudible] revision, and remember we use these to kind of make it even more effective.  Student K, Student K, Student K.  Yes.   That could be a tower too, because we use all these.  But yesterday the best that I learned about you is when we were doing this tower using only two digits, only two digits – she was [inaudible] – only two digits and I find out there are some people – and you know these are going to go up there – I find out there are some people that did an even better wonderful job.  And they keep on asking how many other ways.  And they did other ways.  They use other ways. And now we kind of do other.  Now, I looked at this one and I see that person.  That’s what we’re going to continue working on this morning, right?  I take this person, that’s Student V’s, and we remember what we had is that person built a tower up to 16 and his biggest number was what?",teacher,179,3,,,0.0,الآن، هذا هو النوع من مراجعة، وتذكر أننا نستخدم هذه لجعلها أكثر فعالية نوعا ما. الطالب ك، الطالب ك، الطالب ك. نعم. يمكن أن يكون ذلك برج أيضا، لأننا نستخدم كل هذا. ولكن بالأمس أفضل ما تعلمته عنك هو عندما كنا نعمل هذا البرج باستخدام رقمين فقط، رقمين فقط  كانت [غير مسمعة]  رقمين فقط وأكتشفت أن هناك بعض الناس  وتعلمون أن هذه ستصعد هناك  أكتشفت أن هناك بعض الناس الذين قاموا بعمل أفضل من ذلك بكثير. ويواصلون على سؤال عدة طرق أخرى.,"Now, this is the kind of review, and remember that we use this to make it somewhat more effective. Student K, student K, student K. Yes. It can also be a tower, because we use all this. But yesterday the best thing I learned about you is that when we were making this tower using only two numbers, only two numbers were only two numbers and I discovered that there are some people out there and you know these will go up there and I discovered that there are some people who have done much better than that."
44.,student,1,0,,,,44,44 44 44
"44.  And he worked -- that wasn’t a he, that’s a she -- she worked up to different, right?  She did it by to build a tower we said that the best way you could help yourself is really getting it by layers and dividing it into – oh, I see division – dividing it into groups.  Groups. You could divide it into 5 groups.  You could divide your tower into tenth group, and you could divide your tower into fourth. See? Because we are doing it for 16th, and that person decide to do it in 1, 2, 3…",teacher,100,5,,,0.0,44 و عمل - هذا لم يكن هو ، هذا هو هي - عملت إلى مختلفة ، أليس كذلك؟ لقد فعلت ذلك من خلال بناء برج قالنا أن أفضل طريقة يمكن أن تساعد نفسك هي حقا الحصول عليها في طبقات وتقسيمها إلى  أوه ، أرى التقسيم  تقسيمها إلى مجموعات. مجموعات. يمكنك تقسيمها إلى 5 مجموعات. يمكنك تقسيم برجك إلى مجموعة عشرة ، ويمكنك تقسيم برجك إلى رابع. انظر؟ لأننا نقوم بذلك في 16 ، وهذا الشخص يقرر القيام بذلك في 1 ، 2 ، 3 ...,"I did it by building a tower and we said that the best way to help yourself is to really get them into layers and divide them into oh, I see the division into groups. groups. you can divide them into 5 groups. you can divide your tower into a group of ten, and you can divide your tower into a fourth. see? because we do it in 16, and this person decides to do it in 1, 2, 3 ..."
Ooooh!,student,1,0,,,,-أوه!,"-Oh, my God!"
"Yeah, and I’m glad you realize.  You didn't even recognize. Then what she did even, an extra one, she wrote…",teacher,20,0,,,0.0,نعم، وأنا سعيدة أنكِ أدركتِ أنكِ لم تدركِ حتى، ثم ما فعلته حتى، واحدة إضافية، كتبت...,"Yes, and I'm glad you realized that you didn't even realize, then what you did even, one more, I wrote..."
The equation.,student,2,1,,,,المعادلة,Equation  equation 
"The equation.  Except you didn't put the equation, but I could see you write the equation, this is good.  Now what are we going to do, another person, Student N, hold on for me, thank you.  Another person.  Hold this and check to see what she did.  And another person, that was Student M. Student M did the same thing as this.  She wrote her – and her number was 55, the base number. And she kind of used the value of skip counting by 5 and built on it. But she did the same thing.  She wrote down the 4th multiple, the 5th multiple, the 12th multiple, and the 16th multiple, and the 20th multiple.  And I think those people have a very good base.  What we’re going to do this morning, we’re going to try to write how -- reverse.  What is the reverse of that multiple tower?",teacher,150,10,,,0.0,المعادلة. ما عدا أنك لم تضع المعادلة، ولكنني رأيتك تكتب المعادلة، هذا جيد. الآن ما الذي سنفعله، شخص آخر، الطالب N، انتظر لي، شكراً. شخص آخر. أمسك هذا وتحقق من ماذا فعلت. شخص آخر، كان الطالب M. الطالب M فعل الشيء نفسه. كتبت لها  والرقم لها كان 55، الرقم الأساسي. واستخدمت نوعاً ما قيمة تخطي العد بنسبة 5 وبناء عليها. لكنها فعلت الشيء نفسه. كتبت المضاعفة الرابعة، المضاعفة الخامسة، المضاعفة الثانية عشرة، والمضاعفة السادسة عشرة، والمضاعفة العشرين. وأعتقد أن هؤلاء الناس لديهم قاعدة جيدة جداً.,"Now what we're going to do, another person, student N, wait for me, thank you. Another person. Grab this and check what you did. Another person, student M. Student M did the same thing. I wrote to her and her number was 55, the base number. And I kind of used a value that goes beyond the 5 and based on it. But she did the same thing."
Division.,student,1,1,,,,القسم,I swear by it.
"Division.  So we’re going to try to use this to make the reverse, look.  Because I’m going to help people finish their multiple tower, then from there we’re going to kind of come back and kind of write the division. Another person that did a wonderful job, look. What do you think she did?",teacher,54,3,,,1.0,التقسيم. لذلك سوف نحاول استخدام هذا للقيام بالعكس، انظر. لأنني سوف أساعد الناس على إنهاء برجهم المتعدد، ثم من هناك سوف نعود نوعا ما ونكتب نوعا ما التقسيم. شخص آخر قام بعمل رائع، انظر. ماذا تعتقد أنها فعلت؟,"So we're going to try to use this to do the opposite, see, because I'm going to help people finish their multipurpose tower, and then from there we're going to sort of come back and write a sort of division."
Oh!,student,1,0,,,,-أوه,"-Oh, my gosh."
"Student K, what do you think she did?",teacher,8,0,,,1.0,الطالب كيه، ماذا تعتقد أنها فعلت؟,"Student K, what do you think she did?"
She built the tower and gave the equation and plussed it.,student,11,1,,0.0,,لقد بنيت البرج وأعطت المعادلة وأضافها,I built the tower and gave the equation and added it.
How? So multiple tower is like plussing and plus and plus?,teacher,11,1,1.0,,0.0,كيف؟ إذاً البرج المتعدد هو مثل إضافة زائد زائد زائد؟,So the multipurpose tower is like adding plus plus plus plus?
No.,student,1,0,,,,-كلا .,"- No , not at all ."
What is multiple tower? Okay.,teacher,5,1,,,0.0,ما هو البرج المتعدد؟,What is a multipurpose tower?
Skip counting…,student,2,0,,,,تفوت العد...,Missed the count...
"No, it’s not you, Student S, it’s not you.  She needs to tell me what did she see.  What can you learn from …",teacher,24,0,,,1.0,لا، ليس أنت، الطالب (س) ، ليس أنت، يجب أن تخبرني بما رأت، ماذا يمكنك أن تتعلم من...,"No, not you, student (s), not you, you have to tell me what she saw, what can you learn from..."
She put it by the stairs [inaudible].,student,7,0,,,,وضعتها عند الدرج,I put it on the stairs.
"Because we call it tower and she said she built it by étage. Etage means we build on the tower and a different layer or different level, and she even named.  But she write the equation next to it.  That’s what I’m going to ask you to do.  Write the equation for each of them.  That’s another way.  You could do it that way too.",teacher,65,2,1.0,,0.0,"لأننا نسميها البرج وقالت إنها بنتها بالمرحلة. ""مرحلة"" تعني أننا نبني على البرج وطبقة مختلفة أو مستوى مختلف، وأنها حتى سميت. لكنها تكتب المعادلة بجوارها. هذا ما سأطلب منك فعله. اكتب المعادلة لكل منهما. هذه طريقة أخرى. يمكنك القيام بذلك بهذه الطريقة أيضا.","Because we call it the tower and she said it was her building with the stage. ""stage"" means that we build on the tower and a different layer or level, and it's even named. but she writes the equation next to it. that's what I'm going to ask you to do. write the equation for each of them. that's another way. you can do it this way too."
I was trying to do like how many…how many…,student,9,0,,0.0,,كنت أحاول أن أفعل كم... كم...,I was trying to do how much... how much...
Times?,teacher,1,0,0.0,,0.0,(تايمز) ؟,(Times) ?
"No, how many 12s or…",student,5,0,,,,لا، كم عدد 12 أو...,"No, how many numbers are 12 or..."
That’s good too.  How many 12s in – in what? It was 12? Your base number was 12?,teacher,18,0,1.0,,0.0,هذا جيد أيضاً. كم عدد 12 في  في ماذا؟ كان 12؟ كان رقم أساسك 12؟,What is the number 12 in what? was it 12? was your base number 12?
How many 12s is in 268.,student,6,0,,,,كم عدد الـ 12 في 268,The number 12 in 268 km
"Good job.   How many 12s?  I could tell you really have your division.  Yeah, because the question you ask, how many 12s is in…",teacher,24,1,1.0,,0.0,أجل، لأن السؤال الذي تسأله هو، كم عدد الـ 12 في...,"Yes, because the question you're asking is, how many numbers are 12 in..."
268.,multiple students,1,0,,,,268,268 268
"That’s the thing this morning we’re going to find out.  All right? Another person, look, look.  Excuse me.  We are just revising people who really did a wonderful job.  Yes, Student M.",teacher,32,0,,,0.0,هذا ما سنكتشفه هذا الصباح شخص آخر، اسمع، اسمع، عذراً، نحن نراجع فقط أشخاص قاموا بعمل رائع حقاً,"That's what we're going to find out this morning someone else, listen, listen, listen, excuse me, we're just going back to people who did a really great job."
"I think that the way that I did it, I do it by four.",student,14,0,,0.0,,أعتقد أن الطريقة التي فعلتها، أنا أفعل ذلك في أربعة.,"I guess the way I did it, I do it in four."
You did it by four.  And I encourage people to do it by groups.,teacher,14,0,1.0,,0.0,لقد فعلتها في الرابعة وأشجع الناس على القيام بذلك في مجموعات,I did it at four and I encourage people to do it in groups.
"Four is a factor. 16 divided by four [inaudible]. And four is a factor of 8, and 8 is a factor of 16.",student,23,1,,0.0,,أربعة هو عامل. 16 مقسمة على أربعة. و أربعة هو عامل من 8 و 8 هو عامل من 16.,Four is a factor. 16 divided by four. and four is a factor of 8 and 8 is a factor of 16.
"Good job.   Good job.  Now you really, really, you are learning.  You’re building.  You’re building a lot doing this unit. Now this is another person that kind of writes the equation, and that person has the equation right there and she writes …",teacher,43,3,0.0,,0.0,عمل جيد. عمل جيد. الآن أنت حقا، حقا، أنت تتعلم. أنت تبني. أنت تبني الكثير عن طريق القيام بهذه الوحدة. الآن هذا شخص آخر نوعا ما يكتب المعادلة، وهذا الشخص لديه المعادلة هناك وتكتب ...,"Now you're really, really, you're learning. You're building. You're building a lot by doing this unit. Now this other person sort of writes the equation, and this person has the equation there and writes ..."
Student R.,student,2,0,,,,الطالب ر.,The student is the student.
28 times equals.  Now do you think you are ready to build for 30? Can you predict?,teacher,17,0,,,0.0,28 ضرب يساوي الآن هل تعتقد أنك مستعد لبناء 30؟ هل يمكنك التنبؤ؟,Do you think you're ready to build 30? can you predict?
32.,student,1,0,,,,32.,32. 32.
Can you predict what your 32nd digit multiple would be? And that’s the thing we’re going to do this morning.,teacher,20,2,,,0.0,هل يمكنك التنبؤ بمعدل رقمك الثالث والثلاثين؟ وهذا ما سنفعله هذا الصباح.,Can you predict your rate at number 33? and that's what we're going to do this morning.
This one is a 26 multiple tower.,student,7,1,,,,هذه هي برج متعدد 26,This is the 26 Multiple Tower.
"That’s good.  So now I’m going to pass these back.  Excuse me, listen, you’re not listening. You are not listening.  Student K.  Yes.  Thank you.  Student N. Yes.  Now, you need to listen for direction.  You need to do another one from scratch.  You need to do another one from scratch.  I’ll let you do it, but it’s going to take time.  Because see, these people.  We’re kind of doing the second part of the lesson.  The second part is learning. First one you predict and you write the equation.  Next, then you build the tower, which is the second half of the 16th multiple of your number.  And then you do.  Now, how many people have question on what we’re going to do.  Yes?",teacher,125,2,0.0,,0.0,هذا جيد. لذلك الآن سوف أعيد هذه. اعذرني، اسمعني، أنت لا تستمع. أنت لا تستمع. الطالب ك. نعم. شكراً. الطالب ن. نعم. الآن، تحتاج إلى الاستماع للتوجيه. تحتاج إلى القيام بعمل آخر من الصفر. تحتاج إلى القيام بعمل آخر من الصفر. سأدعك تفعل ذلك، ولكن سيستغرق وقتاً. لأن انظروا، هؤلاء الناس. نحن نوعاً ما نقوم بالجزء الثاني من الدروس. الجزء الثاني هو التعلم. الأول أنت تنبأ وتكتب المعادلة. ثم، تبني البرج، وهو النصف الثاني من 16 ضربة من عددك. ثم تفعل. الآن، كم من الناس لديهم سؤال حول ما سنفعله. نعم؟,"Now, you need to listen to the instruction. You need to do another job from scratch. You need to do another job from scratch. I'll let you do that, but it will take time. Because look, these people. We kind of do the second part of the lessons. Part two is learning."
Is it going to be the same as multiple towers?,student,10,1,,0.0,,هل ستكون نفسها مثل الأبراج المتعددة؟,Will it be the same as the towers?
"It is multiple tower. You’re going to do… You did for the 16th, now you’re going to do for up to…",teacher,21,1,1.0,,0.0,إنّه برج متعدد، ستفعلين ذلك، ستفعلين ذلك في السادس عشر، والآن ستفعلين ذلك حتى...,"It's a multipurpose tower, you're going to do it, you're going to do it on the 16th, and now you're going to do it until..."
32.,student,1,0,,,,32.,32. 32.
"32nd multiple, yes.",teacher,3,1,,,0.0,32 ضرب، نعم.,"Twenty-two times, yes."
Divide by 32nd multiple?,student,4,2,,,,تقسيم بـ 32 ضرباً؟,Divide by 32 times?
"They’re not listening, they’re not listening.  You need to listen to her question.",teacher,13,0,,,0.0,إنهم لا يستمعون، إنهم لا يستمعون عليك أن تستمع إلى سؤاله,"They don't listen, they don't listen to you to listen to his question."
After we’ll get it.,student,4,0,,,,بعد ذلك سنحصل عليه,Then we'll have it.
"Yes, after.",teacher,2,0,,,0.0,نعم، بعد ذلك.,"Yes, after that."
Should we divide the 2nd multiple or the… 32nd multiple.,student,10,3,,0.0,,هل يجب أن نقسم المضاعف الثاني أو المضاعف الثالث والثلاثين,Should we divide the second or the thirty-third?
"I’m glad you asked that question.  Then I’m going to have people.  The same way you did your multiple equation, I’m going to have people kind of decide, what is the division equation, which is just like he said, how many, and then show the division side.  We’ll do one, all right? So, I need your attention. Student V, if you could move up for a minute.  Student V, are you okay?",teacher,72,5,1.0,,0.0,أنا سعيدة أنك طرحت هذا السؤال. ثم سأحصل على الناس. بنفس الطريقة التي قمت بها معادلة متعددة، سأحصل على الناس نوع من القرار، ما هي معادلة التقسيم، وهو بالضبط كما قال، كم عدد، ثم عرض جانب التقسيم. سنقوم بواحدة، حسنا؟ لذلك، أنا بحاجة إلى انتباهك. الطالب V، إذا كنت يمكن أن تتحرك لمدة دقيقة. الطالب V، هل أنت بخير؟,"I'm glad you asked this question. Then I'll get people. In the same way that I did multiple equations, I'll get people some kind of decision, what is the partition equation, which is exactly what he said, how many, then the width of the partition side. We're going to do one, okay? So, I need your attention. Student V, if you can move for a minute. Student V, are you okay?"
I just think about an idea here.  You know the roller coaster?,student,12,0,,0.0,,أنا فقط أفكر في فكرة هنا هل تعرف الساحلة العابرة؟,I'm just thinking of an idea here.
"Ride, roller coaster? Yeah.",teacher,4,0,1.0,,0.0,ركوب السيارات العابرة؟,Riding in passing cars?
"[Speaking in French] build with multiple towers.  [French] fast, would be as slow.",student,13,1,,0.0,,[تحدث الفرنسية] بناء مع أبراج متعددة. [فرنسية] بسرعة، سيكون بطيء.,"[French] building with multiple towers. [French] Fast, it will be slow."
"Wow, that’s physics.",teacher,3,0,1.0,,0.0,هذا هو الفيزياء,That's what physics is all about.
"Yeah, that’s why we were taking the pencil and counting the second.",student,12,0,,0.0,,أجل، لهذا السبب كنا نأخذ القلم ونعد الثانية,"Yeah, that's why we used to take a pencil and count the second."
"Wow, so you’re getting into the physical study, that’s a big science.  So we’ll kind of, we’ll probably get into that later.  Now listen carefully.  Student V, why I wanted you to be here is because I needed your help to tell me which is…",teacher,45,0,0.0,,0.0,حسناً، إذاً أنتِ تدخلين إلى دراسة الفيزياء، هذا علم كبير، لذا سندخل في ذلك نوعاً ما، على الأرجح سندخل في ذلك لاحقاً. الآن استمعي بعناية. الطالب الخامس، لماذا أردتُكِ أن تكوني هنا لأنني احتجتُ لمساعدتكِ لتخبريني ما هو...,"Okay, so you're going to study physics, which is a big science, so we're going to get into that sort of thing, probably later on. Now listen carefully."
I can’t see anything from [inaudible].,student,6,0,,,,لا أستطيع رؤية أي شيء من [غير مسموع].,I can't see anything from [unheard of].
"I need a few that can help me with the division, because I know some people are ready.   Sit down, sit down, sit down, sit, sit, sit.  Sit down, Student K, sit down.  Now quickly, and I have the rest for the other people.  The rest.  Before you move on to your seat and work on it.  Student K.  Could you give to Student K back there please.  Student R, Student R, what’s to do, he’s over.  Student R.  Student I. I have yours.",teacher,84,1,0.0,,0.0,أحتاج إلى عدد قليل من الأشخاص الذين يمكنهم مساعدتي في التقسيم، لأنني أعرف أن بعض الناس مستعدون. اجلس، اجلس، اجلس، اجلس، اجلس، اجلس. اجلس، اجلس، اجلس، اجلس، اجلس، اجلس، اجلس، اجلس، اجلس الآن بسرعة، ولدي الباقي للناس الآخرين. الباقي. قبل أن تنتقل إلى مقعدك وتعمل على ذلك. الطالب K. هل يمكن أن تعطى للطالب K هناك من فضلك. الطالب R، الطالب R، ما يجب القيام به، هو over. الطالب R. الطالب I. لدي لك.,"I need a few people who can help me with the split, because I know some people are ready. Sit, sit, sit, sit, sit, sit. Sit, sit, sit, sit, sit, sit, sit, sit, sit, sit, sit now quickly, and I have the rest for other people. The rest. Before you move to your seat and work on it. Student K. Can you give student K there, please. Student R, student R, ma"
You said to fix this?,student,5,0,,,,قلت أن أصلح هذا؟,Did you say I should fix this?
"No, no, we’ll see. Student J.  Hold on, hold on, we’ll ask you a few questions.  Student K, good job.  Student J, good job.  Student N, good job. Student J, good job.  And give that to Student L, please. Okay, Student K.  We need you back here, and Student R. Hold on, hold on.  Okay.  Now, before you go back to your seat, listen carefully.  I need your attention.  A quick, quick one.  Quick one.  I could see she’s showing it. Student V, I need your attention.  I need you to kind of show people the divisions.  Not the division [story], but a division equation.  And we could call it division.  I know a lot of you already know division is the…",teacher,122,6,1.0,,0.0,لا، لا، سنرى. الطالب J. انتظر، انتظر، سنطرح لك بعض الأسئلة. الطالب K، عمل جيد. الطالب J، عمل جيد. الطالب N، عمل جيد. الطالب J، عمل جيد. و أعط ذلك للطالب L، من فضلك. حسنا، الطالب K. نحتاجك هنا، والطالب R. انتظر، انتظر. حسنا. الآن، قبل أن تعود إلى مقعدك، الاستماع بعناية. أنا بحاجة إلى انتباهك. واحدة سريعة، سريعة. واحدة سريعة. أستطيع أن أرى أنها تظهر ذلك. الطالب V، أنا بحاجة إلى انتباهك. أريد منك أن تظهر للناس التقسيمات. ليس التقسيم [القصة] ، ولكن معادلة. ويمكننا أن نسميها التقسيم. وأنا أعلم أن الكثير منكم يعرف بالفعل التقسيم هو...,"No, no, we'll see. Student J. Wait, wait, we'll ask you some questions. Student K, good work. Student J, good work. Student N, good work. Student J, good work. And give it to student L, please."
Opposite of multiplication.,student,3,1,,,,العكس من مضاعفة,The opposite of doubling is true.
"Thank you.  Now, if you wrote your equation, your equation was…",teacher,11,2,,,0.0,الآن، إذا كتبت معادلتك، معادلتك كانت...,"Now, if I wrote your equation, your equation would be..."
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"Student M, we need your attention for a minute.  One minute and then I’ll let you work.  Listen, listen, everyone.  I need you to look at what we are doing.  Student J.  Yes.",teacher,33,0,,,0.0,الطالب (إم) ، نحتاج إلى إنتباهك لدقيقة، دقيقة واحدة، ثم سأتركك تعمل، اسمعوا، اسمعوا جميعاً، أريدكم أن تنظروا إلى ما نفعله. الطالب (ج) نعم.,"Student (M), we need your attention for a minute, a minute, and then I'll let you work, listen, listen, all of you, I want you to look at what we're doing. Student (C) Yes."
704.,student,1,0,,,,704,704  704
704.,teacher,1,0,,,0.0,704,704  704
Divided by 16.,student,3,1,,,,مقسومة على 16,Divided into 16
"Divided by 16.  Now, how do you get to do this equation? What was your time? What was your multiple equation?",teacher,21,4,,,1.0,الآن، كيف يمكنك القيام بهذه المعادلة؟ ما هو وقتك؟ ما هو المعادلة المتعددة؟,"Now, how can you do this equation? What is your time? What is the multiple equation?"
My multiple equation was 44 times 16.,student,7,2,,,,معادلتي المتعددة كانت 44 × 16.,My polynomial equation was 44 × 16.
44.  Sorry.  I need your attention so you can help me.  44 times 16.,teacher,14,0,1.0,,0.0,المعذرة أحتاج انتباهك حتى تتمكن من مساعدتي,"I'm sorry, I need your attention so you can help me."
Equals 704.,student,2,0,,,,يساوي 704.,is equal to 704.
Equals 704. And remember we said when we’re doing our – and we call this factor… Some people are not paying attention.  Factor…,teacher,23,0,,,0.0,يساوي 704 وتذكر أننا قلنا عندما نقوم بعمل  و نسمي هذا العامل... بعض الناس لا ينتبهون.,It's equal to 704 and remember that when we do a task and call this factor... some people don't pay attention.
Factor times factor equals product.,multiple students,5,1,,,,العوامل × العوامل = المنتج,Factors × factors = product
"Product.  Now, for our division, what do we do?",teacher,9,2,1.0,,0.0,المنتج، الآن، بالنسبة لقسمنا، ماذا نفعل؟,"Product, now, for our department, what do we do?"
"Mr. J., I know a way to do it, [inaudible] 16.",student,11,0,,0.0,,سيد جي، أنا أعرف طريقة للقيام بذلك، [غير مسموع] 16.,"Mr. J, I know a way to do this, [unheard of] 16."
"Yes, but this is our…  I’ll come to you for a minute.  Then we did the factor …",teacher,18,0,0.0,,0.0,أجل، لكن هذا هو... سأأتي إليك لدقيقة، ثم فعلنا العامل...,"Yeah, but that's it... I'll come to you for a minute, and then we do the worker thing..."
You mean the product.,student,4,1,,,,تعني المنتج,Means the product
"We did the product, I’m sorry, product for our division.  And then we look for how many, look up here, how many, how many, this is how many…",teacher,28,3,,,0.0,لقد صنعنا المنتج، أنا آسف، المنتج لقسمنا ثم نبحث عن عدد، نبحث هنا، كم عدد، كم عدد، هذا عدد...,"We made the product, I'm sorry, the product of our division and then we look for a number, we look here, how many, how many, how many, this number..."
Groups.,student,1,0,,,,المجموعات.,The groups.
