text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Miss G, I guess this [week] is going by fast.",student,10,0,,0.0,,آنسة جي، أعتقد أن هذا [الأسبوع] يمر بسرعة.
Hmm?,teacher,1,0,0.0,,0.0,هل هذا صحيح؟
I said I guess this [week] is going by fast.  Next week is already the 17th.,student,16,0,,0.0,,قلت أعتقد أن هذا الأسبوع يمر بسرعة الأسبوع القادم هو بالفعل السابع عشر
"Next week really is the 17th, on Friday, yes. Okay, so we’re working on the steps that we already know.  These are the ones that we’re working on.",teacher,28,0,1.0,,0.0,الأسبوع القادم هو يوم الجمعة السابعة عشر، نعم، حسناً، نحن نعمل على الخطوات التي نعرفها بالفعل، هذه هي الخطوات التي نعمل عليها.
How can you take 3 away from 5?,student,8,0,,1.0,,كيف يمكنك أن تأخذ 3 بعيدا عن 5؟
"We don’t.  Good thinking.  But remember what we do for adding fractions.  Can we subtract or add – what are these called, the bottom number, the denominator?",teacher,27,4,0.0,,0.0,ونحن لا. تفكير جيد. ولكن تذكر ما نفعله لإضافة الكسور. هل يمكننا أن نخصم أو نضيف  ما هي هذه تسمى، الرقم السفلي، القاسم؟
Numerator and denominator.,student,3,2,,,,العداد والقاسم
Numerator and denominator.  But are the denominators the same?,teacher,9,3,,,0.0,العداد والعاقب، لكن هل العاقب هو نفسه؟
No.,student,1,0,,,,-كلا .
So we need to make it so the denominators are the…,teacher,11,1,,,0.0,لذا علينا أن نجعلها حتى تكون المُسمى...
Same.,student,1,0,,,,نفس الشيء.
"So we need to use our steps, right?  Remember what our steps are?  You told me that we have to find multiples, right? So for this, list 6, and you have to find 6 and 8 in common.  You don’t just subtract, honey, it’s the same as addition.  The bottom numbers aren’t the same.  Keep going. Now what comes after 18?",teacher,61,3,,,0.0,لذلك نحن بحاجة إلى استخدام خطواتنا، أليس كذلك؟ تذكر ما هي خطواتنا؟ قلت لي أننا يجب أن نجد مضاعفات، أليس كذلك؟ لذلك بالنسبة لهذا، القائمة 6، وعليك أن تجد 6 و 8 في المشترك.
16.,student,1,0,,,,16.
Did you [inaudible]?,teacher,3,0,,,0.0,هل أنت (غير مسموع) ؟
Oooh! [Inaudible],student,2,0,,,,أوه! [غير مسموع]
"And now list the multiples for 8.  So which ones do you see in common?  Now you might want to erase your answer because it’s not right.  [Inaudible] Good, and write your new fraction below it, right?  Or you can write it over there if you want.  Nice. Look at your operation now.  Are we doing addition?",teacher,57,3,,,0.0,والآن قم بإدراج المضاعفات لـ 8. إذن ما هي المضاعفات التي ترونها مشتركة؟ الآن قد ترغب في حذف إجابتك لأنها ليست صحيحة. [لا يمكن سماعها] جيد، وكتب جزءك الجديد أسفلها، أليس كذلك؟ أو يمكنك كتابته هناك إذا كنت تريد. جيد. انظر إلى العملية الخاصة بك الآن. هل نقوم بالإضافة؟
"No, take away.",student,3,0,,,,لا، خذ بعيدا.
We’re doing take away.,teacher,4,0,,,0.0,نحن نقوم بأخذ.
It’s 6.,student,2,0,,,,إنها ستة
6 out of what?,teacher,4,0,,,0.0,6 من ماذا؟
8.,student,1,0,,,,8
"Good.  And can we find the equivalent fraction that’s smaller? We can’t simplify or reduce that and find the equivalent that’s smaller?  See if you can.  What would you divide them both by?  Good, did you write your new fractions?  Are you thinking what can go into both of them?",teacher,50,5,,,1.0,جيد. وهل يمكننا العثور على الجزء المكافئ الذي هو أصغر؟ لا يمكننا تبسيط أو تقليل ذلك والعثور على الجزء المكافئ الذي هو أصغر؟ انظر إذا كنت تستطيع. ما الذي سوف تقسيم كل منهما؟ جيد، هل كتبت الجزء الجديد الخاص بك؟ هل تتساءل ما يمكن أن يذهب في كل منهما؟
Yeah.,student,1,0,,,,-أجل، أجل
So what can you divide both of these by?  What common factor do they have?,teacher,15,2,,,1.0,إذاً ما الذي يمكن تقسيم الاثنين به؟ ما هو العامل المشترك بينهما؟
6.,student,1,0,,,,6 .
"Okay, so do the little divides, right?  What’s 6 divided by 6?",teacher,12,2,,,0.0,حسناً، إذاً القسمات الصغيرة، صحيح؟ ما هي 6 مقسمة على 6؟
1.,student,1,0,,,,1 .
"Okay, what’s 24 divided by 6?",teacher,6,1,,,0.0,حسناً، ما هو 24 مقسماً بـ 6؟
4.,student,1,0,,,,4 .
So it’s one…,teacher,3,0,,,0.0,لذا فهو واحد...
Fourth.,student,1,0,,,,الرابع
"And you write it, for the little divided signs, you write divided by 6, divided by 6, and that’s our new one, right? One-fourth.  Good, try the second one.  Put the date.",teacher,32,3,,,0.0,"وانت تكتبها، للخطوط الصغيرة المنقسمة، وانت تكتب مقسمة على 6, مقسمة على 6, وهذا هو الجديد لدينا، أليس كذلك؟ واحد ربع. جيد، جرب الثاني. ضع التاريخ."
[Inaudible],student,1,0,,,,[غير مسموع]
"Yes, it looks like that.  Can you try the next one?  Good, Student D. How are we doing?",teacher,18,0,,,0.0,نعم، يبدو كذلك هل يمكنك تجربة التالي؟ جيد، الطالب د. كيف الحال؟
Good.,student,1,0,,,,-حسناً
"You’re done with this one, you want to do this one?",teacher,11,0,,,0.0,"انت انتهيت من هذا, هل تريد ان تفعل هذا؟"
I need help with the second one.,student,7,0,,,,أحتاج مساعدة مع الثانية.
"With the second one?  Okay, what do we need to do first? First we need to list the what?",teacher,19,0,1.0,,0.0,حسناً، ماذا يجب أن نفعل أولاً؟ أولاً علينا أن نضع قائمة بماذا؟
The multiples.,student,2,1,,,,المتعددات.
"So can you start with 5.  Okay, then you can list them with this.  Did you find one in common?",teacher,20,0,,,1.0,إذاً، هل يمكنك البدء بـ 5؟ حسناً، ثم يمكنك إدراجها مع هذا. هل وجدت واحدة مشتركة؟
Yes.,student,1,0,,,,-أجل، أجل
Next you need to do what?,teacher,6,0,,,0.0,ماذا ستفعل بعد ذلك؟
[Inaudible],student,1,0,,,,[غير مسموع]
Now you need to rewrite it out there.  4 times…,teacher,10,0,,,0.0,الآن عليك إعادة كتابته هناك أربع مرات
4 is 16.,student,3,0,,,,4 = 16
Over what?,teacher,2,0,,,0.0,من أجل ماذا؟
20.,student,1,0,,,,عشرون
"All right, minus?",teacher,3,0,,,0.0,حسناً، ناقص؟
2.  Over 20.,student,3,0,,,,أكثر من 20 سنة
Equals…,teacher,1,0,,,0.0,متساوية
[Inaudible],student,1,0,,,,[غير مسموع]
"[Inaudible]  Can we find an equivalent fraction for that that’s smaller?  If we divide both 14 and 20 by something?  Well, they’re both even, and even numbers we can always divide by at least what?",teacher,35,4,,,0.0,[لا يمكن سماعها] هل يمكننا العثور على كسر معادل لهذا الذي هو أصغر؟ إذا قمنا بتقسيم كل من 14 و 20 بشيء؟ حسنا، كلاهما متساوية، والأرقام المتساوية يمكننا دائمًا تقسيمها على الأقل بماذا؟
4.,student,1,0,,,,4 .
"No, not all of them by 4.  You can always cut in half, that means you can always divide them by 2.   So if you divide them both by…",teacher,29,2,,,0.0,لا، ليس جميعها بـ4 يمكنك دائماً قطعها إلى النصف، وهذا يعني أنه يمكنك دائماً تقسيمها بـ2
Can I do the last one?,student,6,0,,,,هل يمكنني القيام بالآخر؟
"Yep, go ahead.  In your neatest writing please.  I’m going to make this a little smaller so you can write below it.  What is it?  4 out of 20 minus 2 out of 20, was that the problem?  2 out of 20.  Okay, do it in your neatest handwriting.",teacher,49,0,1.0,,0.0,نعم، هيّا. في كتابتك الأكثر تنظيفاً من فضلك. سأجعلها أصغر قليلاً حتى تتمكن من الكتابة تحتها. ما هي؟ 4 من 20 - 2 من 20، هل كانت هذه هي المشكلة؟ 2 من 20. حسناً، افعل ذلك بأكثر تنظيفاً من كتابة يدك.
Thanks.,student,1,0,,,,شكراً لكِ
"You said if they’re even numbers we can cut them all in half, right?  So if we cut these in half, that means we divide them by what?  Or cut them in half?  So see up here? I just wrote it smaller. Oh, 4 over 5.   There we go.",teacher,49,2,,,0.0,لقد قلت ان كانت ارقام متساوية يمكننا ان نقصها كلها الى النصف، صحيح؟ اذا ان نقصها الى النصف، هذا يعني ان نقصها الى ماذا؟ او نقصها الى النصف؟ انظر هنا؟ انا فقط كتبتها أصغر.
I can’t see.,student,3,0,,,,لا أستطيع أن أرى
It’s 4 over 5 minus 2 over 20.  4/5 minus 2/20.  2 over 20.,teacher,14,0,,,0.0,هو 4 على 5 ناقص 2 على 20. 4/5 ناقص 2/20. 2 على 20.
2 over 20.,student,3,0,,,,اثنان على عشرين
4 over 5 minus 2 over 20.  4 divided by 2 is?,teacher,12,1,,,0.0,4 على 5 - 2 على 20. 4 مقسمة على 2 هي؟
4 divided by 2 equals 2.,student,6,1,,,,4 مقسومة على 2 تساوي 2.
So what is 14 divided by 2?,teacher,7,1,1.0,,0.0,اذاً ما هو 14 مقسماً بـ 2؟
7.,student,1,0,,,,7
"So can you write an equals.  Remember how you learned an equal fraction?  [Inaudible] Yep, 20 divided by 2, yeah.  That’s the smallest form, remember?  [Inaudible] the smallest form, the equivalent, right?  Now what percent is that?",teacher,37,4,,,0.0,هل يمكنك كتابة مساوية؟ تذكر كيف تعلمت جزء مساوية؟ نعم، 20 مقسماً بـ 2، نعم. هذا هو أصغر شكل، تذكر؟
70.,student,1,0,,,,70.
"70, good.  But if you said 14 over 20, would you be able to know the percent?",teacher,17,1,,,1.0,70، حسناً، ولكن إذا قلت 14 على 20، هل ستكون قادراً على معرفة النسبة؟
"No,",student,1,0,,,,لا، لا.
"No, it’s a little trickier, so it’s easier when we do that.",teacher,12,0,,,0.0,لا، هو أكثر صعوبة قليلا، لذلك هو أسهل عندما نفعل ذلك.
[Inaudible],student,1,0,,,,[غير مسموع]
"Good, did you find percents?",teacher,5,1,,,0.0,جيد، هل وجدت نسبة مئوية؟
[Inaudible],student,1,0,,,,[غير مسموع]
Can you do that?  Can you find the percents for those?  It’s a little tricky.,teacher,15,1,,,0.0,هل يمكنك فعل ذلك؟ هل يمكنك العثور على النسبة المئوية لهذه؟
This one’s 25 percent.,student,4,1,,,,هذه 25 بالمئة
Mm-hmm.  And that one should be easy too.,teacher,8,0,,,0.0,وهذا يجب أن يكون سهلاً أيضاً
Easy like [a pea in a pod].,student,7,0,,,,سهل مثل (البازلاء في الكبسولة)
Yeah?,teacher,1,0,0.0,,0.0,-أجل؟
This blue or red marker?,student,5,0,,,,هذا العلامة الزرقاء أم الحمراء؟
"You want a red marker?  It’s right here.  Maybe you want to … Oh good.  You got yours done nicely, Student D. one, that it was immediately 20. Yeah, sometimes we can list them, sometimes we don’t have to. It’s okay.",teacher,41,0,1.0,,0.0,هل تريد علامة حمراء؟ انها هنا. ربما تريد ... أوه جيد. حصلت على الخاص بك بشكل جيد، الطالب D. واحد، أنه كان على الفور 20. نعم، في بعض الأحيان يمكننا إدراجهم، في بعض الأحيان لا يجب علينا ذلك.
I know what the first one is.,student,7,0,,,,أعرف ما هو الأول.
"Well, you can check your work with his, don’t yell it out though, because he wants to solve it on his own.  While Student B is working on that, put your name and date on this please.  This is the work that goes along with today’s.  We’re just doing Side 46.  Okay?  So put your name on 46 and if you want to get started before we go over those, you can?  He should be done any second.",teacher,78,0,0.0,,0.0,حسناً، يمكنك التحقق من عملك مع عمله، لكن لا تصرخ عليه، لأنه يريد أن يحل الأمر بنفسه. بينما الطالب ب يعمل على ذلك، ضع اسمك وتاريخك على هذا من فضلك. هذا هو العمل الذي يتوافق مع اليوم. نحن نقوم فقط بالجانب 46. حسناً؟ لذا ضع اسمك على 46 وإذا كنت تريد البدء قبل أن نذهب إلى تلك، يمكنك؟ يجب أن يتم في أي لحظة.
40…?,student,1,0,,,,أربعين؟
"46.   Good, but you skipped on step.  Where are the new fractions?  Wait a minute.  Here.  Right our new fractions first and then write that after.  So write the new fractions, 12 out of… Good.  Minus.  Yeah, you have it all on your paper but we don’t want to confuse everyone.  And what do we get?  What does that equal when you subtract them?  Equals?",teacher,65,4,,,0.0,46، حسناً، ولكنك قفزت على الخطوة. أين الكسور الجديدة؟ انتظر لحظة. هنا. حق كسورنا الجديدة أولاً ثم اكتب ذلك بعد ذلك. لذا اكتب الكسور الجديدة، 12 من... جيد. سلبي. نعم، لديك كل شيء في ورقتك ولكننا لا نريد أن نخلط في الخلط الجميع. وماذا نحصل؟ ما الذي يساوي عندما تقوم باستبعادهم؟ يساوي؟
[Inaudible],student,1,0,,,,[غير مسموع]
6 out of…,teacher,3,0,,,0.0,ستة من...
2.,student,1,0,,,,2 .
20.,teacher,1,0,,,0.0,عشرون
[Inaudible] 4.,student,2,0,,,,[غير مسموع] 4.
"And then you can write equals the one, find your equivalent, okay?  Thank you. Okay, Student D, we’re going to just go over these real quickly and then you can work on that, okay?  So can you sit up and double-check and make sure they’re right?  Because I’m going to ask you for the percents, okay?",teacher,56,2,,,0.0,ثم يمكنك كتابة يساوي واحد، والعثور على ما يعادله، حسناً؟ شكراً. حسناً، الطالب د، سنقوم بمراجعة هذه بسرعة ويمكنك العمل على ذلك، حسناً؟ لذا هل يمكنك الجلوس والتحقق مزدوجة للتأكد من أنهم على حق؟ لأنني سأطلب منك النسبة المئوية، حسناً؟
That’s right.,student,2,0,,,,هذا صحيح
Is it the same answer you got?,teacher,7,0,,,0.0,هل هي نفس الإجابة التي حصلت عليها؟
Yes.,student,1,0,,,,-أجل، أجل
"Okay, are you done?",teacher,4,0,,,0.0,حسناً، هل انتهيت؟
"Yeah, and I did my percents.",student,6,1,,,,نعم، وأنا فعلت نسبة مئتي.
"Nice job.  All right, so we’re going to go over these, and then you guys are going to work on your paper on your own, which are very similar to what we’ve been doing.  So Student B, can you explain your work?  What you did?",teacher,45,0,0.0,,1.0,عمل جيد. حسناً، سنقوم بمراجعة هذه، وبعدها ستعملون على ورقتكم بأنفسكم، والتي تشبه كثيراً ما كنا نفعل. إذاً الطالب ب، هل يمكنك شرح عملك؟ ماذا فعلت؟
It’s right there.,student,3,0,,,,إنه هناك
"I know it’s right there, can you explain it?",teacher,9,0,,,1.0,أعرف أنه هناك، هل يمكنك تفسير ذلك؟
I [inaudible] by 6 and then I got 4 so I divided by 4.  I got the multiples of 8 and then I got the…,student,25,2,,0.0,,أنا (غير مسموع) بـ 6 ثم حصلت على 4 لذا قمت بتقسيمها بـ 4 حصلت على مضاعفات 8 ثم حصلت على...
"Okay so you did the multiples of 6, and you skip counted for times, and that’s why you put the times 4, and then you did the multiples of 8.  And you did it…",teacher,34,2,1.0,,0.0,حسناً إذاً قمت بمضاعفة 6 ، ثم تخطي العد من أجل مرات ، وهذا هو السبب في أنك وضعت المضاعفة 4 ، ثم قمت بمضاعفة 8.
Times 3.,student,2,0,,,,ثلاث مرات
"3 times, so 1, 2, 3.",teacher,6,0,,,0.0,3 مرات، لذلك 1، 2، 3
And found my answer.,student,4,0,,,,ووجدت إجابتي
"And the new fractions that you got were 12 out of 24, minus 6 out of 24, and then you got, it equaled 6 out of 24.  And then when we found the equivalent fraction we found ¼. Student D, what percent is ¼?",teacher,44,3,,,0.0,والكسور الجديدة التي حصلت عليها كانت 12 من 24، ناقص 6 من 24، ثم حصلت، انها تساوي 6 من 24.
25 percent.,student,2,1,,,,25 بالمئة
"Student D, what percent is ¼?",teacher,6,1,,,0.0,الطالب (د) ، ما هو النسبة المئوية؟
25 percent.,student,2,1,,,,25 بالمئة
"Yeah, you had 25 written down.",teacher,6,0,,,0.0,نعم، كان لديك 25 مكتوب.
"Yeah, I have it.",student,4,0,,,,أجل، لديّها
"Good job.  Okay, Student E, can you explain to us what you did down here?",teacher,15,0,,,1.0,حسناً، الطالب (إي) ، هل يمكنك أن تشرح لنا ماذا فعلت هنا؟
5 times 4.,student,3,0,,,,5 × 4
Is this a 16?,teacher,4,0,,,0.0,هل هذه 16؟
"5 times 4 is 20, then I carried the 4 up.",student,11,0,,0.0,,5 × 4 = 20، ثم حملت 4 فوق.
"You brought the 4 up, you did the same up here, okay.",teacher,12,0,1.0,,0.0,لقد جلبت الرابعة، فعلت نفس الشيء هنا، حسناً.
And then I did 20 times 1.,student,7,0,,,,ومن ثم فعلت 20 × 1
"So this is the new fraction you made, because you add 5 times 4.",teacher,14,2,0.0,,0.0,هذا هو الجزء الجديد الذي قمت به، لأنك تضيف 5 × 4.
[Inaudible],student,1,0,,,,[غير مسموع]
"He’s trying to explain it, so can you give him a second please? Can you give him a second please?   So you made the new fraction, right?  5 times 20, and 4 times 4, you had 16, right?  Then you did it on this side and what did you get?",teacher,50,1,,,0.0,هو يحاول أن يوضح ذلك، لذلك هل يمكن أن تعطيه ثانية من فضلك؟ هل يمكن أن تعطيه ثانية من فضلك؟ لذلك قمت بعمل الجزء الجديد، أليس كذلك؟ 5 × 20 و 4 × 4 كان لديك 16، أليس كذلك؟ ثم فعلت ذلك على هذا الجانب وما الذي حصلت عليه؟
20.,student,1,0,,,,عشرون
And then…,teacher,2,0,,,0.0,وبعد ذلك...
And then 2.,student,3,0,,,,ثم اثنان.
So you subtracted them.,teacher,4,1,,,0.0,إذاً أنت منقطعتهم
"I did 2 take away 16 is 14, but you can’t do 20 take away 20 at the bottom, because I could see 20.  And then I said because 14 and 20 is an even number, I know half of 14 is 7, and then I know that half of 20 is 10.  So then I put 7 at the top and 10 at the bottom",student,66,1,,1.0,,لقد فعلت 2 إزالة 16 هو 14 ولكن لا يمكنك فعل 20 إزالة 20 في الأسفل، لأنني يمكن أن أرى 20. ومن ثم قلت لأن 14 و 20 هو عدد متزايد، أنا أعرف نصف 14 هو 7، ومن ثم أنا أعرف أن نصف 20 هو 10.
"Okay.  So Student B, is this what you were asking about?",teacher,11,0,0.0,,1.0,حسناً، إذاً الطالب (ب) ، هل هذا ما كنت تسأل عنه؟
Yeah.,student,1,0,,,,-أجل، أجل
"One second, Student C, I’ll call on you in one second, okay? He said he took 2 away from 16 and got 14.  We leave the bottom the same, right, because it’s still out of the same. And then this is what he got.  You said you divided both of these by 2, right?  Student E, you divided both by 2? Right?  And you got 7 out of 10?  What were you going to add, Student C?",teacher,77,3,,,0.0,ثانية واحدة، الطالب C، سأتصل بك في ثانية واحدة، حسنا؟ قال انه أخذ 2 من 16 وحصل على 14. نحن نترك الجزء السفلي نفسه، أليس كذلك، لأنه لا يزال خارج من نفس. ومن ثم هذا ما حصل عليه. قلت أنك تقسمت هذين الاثنين ب 2، أليس كذلك؟ الطالب E، قمت بتقسيم الاثنين باليمين؟ وهناك 7 من 10؟ ماذا كنت ستضيف، الطالب C؟
The percent is 70 percent.,student,5,2,,,,المئة هي 70 في المئة.
"Yeah, you want to tell us the percent?  Go ahead.",teacher,10,1,1.0,,0.0,نعم، هل تريد أن تخبرنا بالمئة؟
70 percent.,student,2,1,,,,70 بالمئة
"70 percent, very nice.  Good job.  Okay.  So what you’re going to do right now, you’re going to look at page 46.  There is addition.  There is some with 3 fractions, and then there is some subtraction, okay?  You’re going to work on it independently, and myself and Mr. S. will be coming around and checking if you need help, how you’re doing.  Good, Student B, it looks like you’re getting right to it.",teacher,74,4,,,0.0,70%، جيد جداً. عمل جيد. حسناً. إذاً ما سوف تفعله الآن، سوف تنظر إلى الصفحة 46. هناك إضافة. هناك بعضها مع 3 كسور، ثم هناك بعض السحب، حسناً؟ ستعملين على ذلك بشكل مستقل، وأنا والسيد س سنأتي ونفحص ما إذا كنت بحاجة إلى مساعدة، كيف حالك. حسناً، الطالب ب، يبدو أنك تصل إلى ذلك.
I have a question.,student,4,0,,,,لدي سؤال
"Sure, what’s your question?",teacher,4,0,,,0.0,بالتأكيد، ما هو سؤالك؟
Should I do the same thing as like this?,student,9,0,,0.0,,هل يجب أن أفعل الشيء نفسه مثل هذا؟
