text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Now, if you – you can say that you said that.  If I didn’t hear it, I didn’t hear it.  You need to use a big girl voice or a big boy voice.  So, which number goes into the numerator and the denominator?  Which number goes into the numerator and the denominator?  Student A?",teacher,54,4,,,0.0,الآن، إذا كنت  يمكنك أن تقول أنك قلت ذلك. إذا لم أسمع ذلك، لم أسمع ذلك. تحتاج إلى استخدام صوت فتاة كبيرة أو صوت ولد كبير. إذاً، أي رقم يدخل في العداد والعاقل؟ أي رقم يدخل في العداد والعاقل؟ الطالب A؟,الان، اذا كنت يمكنك ان تقول انك قلت ذلك. اذا لم اسمع ذلك، لم اسمع ذلك. تحتاج الي استخدام صوت فتاه كبيره او صوت ولد كبير. اذا، اي رقم يدخل في العداد والعاقل؟ اي رقم يدخل في العداد والعاقل؟ الطالب A؟,41,0.0,False
Two.,student,1,0,,,,اثنان.,اثنان.,1,0.0,False
"Two.  We have two right here as a factor of two and we have two over here as a factor of eight.  So, we know that we need to divide by two.  So what’s my new fraction?  What’s my new fraction?  I should see more hands than this.  What’s my new fraction?  Who haven’t I heard from?  Student M?",teacher,59,4,,,0.0,اثنان. لدينا اثنان هنا كعامل اثنين و لدينا اثنان هنا كعامل ثمانية. لذلك، نحن نعلم اننا بحاجة الى تقسيم اثنين. اذا ما هو كسر جديد لي؟ ما هو كسر جديد لي؟ يجب ان أرى المزيد من اليدين من هذا. ما هو كسر جديد لي؟ من لم اسمع؟ الطالب M؟,اثنان. لدينا اثنان هنا كعامل اثنين و لدينا اثنان هنا كعامل ثمانيه. لذلك، نحن نعلم اننا بحاجه الي تقسيم اثنين. اذا ما هو كسر جديد لي؟ ما هو كسر جديد لي؟ يجب ان اري المزيد من اليدين من هذا. ما هو كسر جديد لي؟ من لم اسمع؟ الطالب M؟,49,0.10204081632653061,True
One-fourth.,student,1,0,,,,ربع واحد.,ربع واحد.,2,0.5,True
"One-fourth.  So that’s our simplest, simplest fraction.  Let’s do another one for letter B.  Which factors go into ten? Student E?",teacher,21,2,,,0.0,واحد ربع. لذلك هذا هو لدينا أبسط، أبسط كسر. دعونا نفعل واحد آخر للحرف B. ما العوامل تذهب إلى عشرة؟ الطالب E؟,واحد ربع. لذلك هذا هو لدينا ابسط، ابسط كسر. دعونا نفعل واحد اخر للحرف B. ما العوامل تذهب الي عشره؟ الطالب E؟,21,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"One, two, five and ten.  Good.  What factors goes into 20? What factors go into 20?  Student D?",teacher,18,2,,,1.0,واحد، اثنان، خمسة وعشرة. جيد. ما العوامل التي تذهب إلى 20؟ ما العوامل التي تذهب إلى 20؟ الطالب D؟,واحد، اثنان، خمسه وعشره. جيد. ما العوامل التي تذهب الي 20؟ ما العوامل التي تذهب الي 20؟ الطالب D؟,19,0.05263157894736842,True
"Five, [Inaudible]",student,2,0,,,,خمسة، [غير مسموع],خمسه، [غير مسموع],3,0.0,False
Is she missing any?,teacher,4,0,,,0.0,هل تفتقد أي منها؟,هل تفتقد اي منها؟,4,0.0,False
Yeah.  Yeah.  Mm-hm.,multiple students,3,0,,,,أجل، أجل.,اجل، اجل.,2,0.0,False
"What is she missing, Student J?",teacher,6,0,,,0.0,ما الذي تفتقده، الطالب جي؟,ما الذي تفتقده، الطالب جي؟,5,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Is that it?,teacher,3,0,,,0.0,أهذا كل شيء؟,اهذا كل شيء؟,3,0.0,False
No.,multiple students,1,0,,,,-كلا .,-كلا .,1,0.0,False
Is that it?  I think there’s one more.  I don’t know who’s gonna be able to get it though.  Student J?,teacher,21,0,,,0.0,أعتقد أن هناك واحد آخر لا أعرف من سيتمكن من الحصول عليه,اعتقد ان هناك واحد اخر لا اعرف من سيتمكن من الحصول عليه,12,0.0,False
One?,student,1,0,,,,واحد؟,واحد؟,1,0.0,False
You already have one.  Student J?,teacher,6,0,,,0.0,لديكِ واحدة بالفعل، الطالب (جي) ؟,لديك واحده بالفعل، الطالب (جي) ؟,6,0.0,False
Um –,student,2,0,,,,أم ,ام,1,0.0,False
"One, two, five, ten, 20 and four.  Good.  Good.  Now, we have a problem here.  Because we have two numbers that goes into the numerator and the denominator.  Five and ten go into both of them.  Do you see that?  They’re both factors. Five and ten. So, when we have that problem, which we have a lot of, we had it on the board earlier, you need to pick the highest number. When you divide a number by a bigger number it ends up being smaller.  So, what’s our new fraction if we divide it by the bigger number?  Which one is the bigger number? Student D?",teacher,107,6,,,0.0,واحد، اثنان، خمسة، عشرة، 20 وأربعة. جيد. جيد. الآن، لدينا مشكلة هنا. لأن لدينا اثنين من الأرقام التي تذهب إلى العداد والعاقب. خمسة وعشرة تذهب إلى كليهما. هل ترى ذلك؟ هم كل من العوامل. خمسة وعشرة. لذلك، عندما لدينا تلك المشكلة، والتي لدينا الكثير من، كان لدينا على اللوحة في وقت سابق، تحتاج إلى اختيار أعلى عدد. عندما تقسم عدد من قبل عدد أكبر ينتهي بكونه أصغر.,واحد، اثنان، خمسه، عشره، 20 واربعه. جيد. جيد. الان، لدينا مشكله هنا. لان لدينا اثنين من الارقام التي تذهب الي العداد والعاقب. خمسه وعشره تذهب الي كليهما. هل تري ذلك؟ هم كل من العوامل. خمسه وعشره. لذلك، عندما لدينا تلك المشكله، والتي لدينا الكثير من، كان لدينا علي اللوحه في وقت سابق، تحتاج الي اختيار اعلي عدد. عندما تقسم عدد من قبل عدد اكبر ينتهي بكونه اصغر.,66,0.029850746268656716,True
Ten.,student,1,0,,,,عشرة.,عشره.,1,0.0,False
Ten.  Good.  So we divide it by ten.  What’s our new fraction?,teacher,12,2,,,0.0,عشرة. جيد. إذاً نقسمها على عشرة. ما هو الجزء الجديد لدينا؟,عشره. جيد. اذا نقسمها علي عشره. ما هو الجزء الجديد لدينا؟,11,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
What’s our new fraction?  Student L?,teacher,6,1,,,0.0,ما هو الجزء الجديد لدينا؟ الطالب L؟,ما هو الجزء الجديد لدينا؟ الطالب L؟,7,0.0,False
One half.,student,2,0,,,,نصف.,نصف.,1,0.0,False
One half.  Excellent.  You see how we did that?,teacher,9,0,,,0.0,نصف، ممتاز، أترى كيف فعلنا ذلك؟,نصف، ممتاز، اتري كيف فعلنا ذلك؟,6,0.0,False
Yeah.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"Anybody have questions so far?  So, when you have a numerator and a denominator that has two factors that go into each other, which one do you pick?  Which one do you pick? Student Y?",teacher,35,3,,,0.0,إذاً، عندما يكون لديك عدداً وعيداً يحتويان على عاملين يتوافقون مع بعضهما البعض، أيّ واحد تختار؟ أيّ واحد تختار؟ الطالب Y؟,اذا، عندما يكون لديك عددا وعيدا يحتويان علي عاملين يتوافقون مع بعضهما البعض، اي واحد تختار؟ اي واحد تختار؟ الطالب Y؟,21,0.0,False
The bigger number.,student,3,0,,,,الرقم الأكبر.,الرقم الاكبر.,2,0.0,False
"The bigger number out off the two.  Excellent.  Now, let’s look at letter C.  What are the factors of three?  Student A?",teacher,22,1,,,0.0,الرقم الأكبر من اثنين. ممتاز. الآن، دعونا ننظر إلى الحرف C. ما هي عوامل الثلاثة؟ الطالب A؟,الرقم الاكبر من اثنين. ممتاز. الان، دعونا ننظر الي الحرف C. ما هي عوامل الثلاثه؟ الطالب A؟,16,0.058823529411764705,True
Three and one.,student,3,0,,,,ثلاثة وواحد,ثلاثه وواحد,2,0.5,True
What are the factors of five?  Student J?,teacher,8,1,,,0.0,ما هو العوامل لخمسة؟,ما هو العوامل لخمسه؟,4,0.0,False
One [Inaudible],student,2,0,,,,واحد [غير مسموع],واحد [غير مسموع],3,0.0,False
One and five.  Do we have a number that’s common?  Can we divide by a number that’s there?  Student W?,teacher,20,1,,,0.0,واحد وخمسة. هل لدينا رقم شائع؟ هل يمكننا تقسيمه بأعداد موجودة؟ الطالب W؟,واحد وخمسه. هل لدينا رقم شائع؟ هل يمكننا تقسيمه باعداد موجوده؟ الطالب W؟,13,0.0,False
[Inaudible] [to get a number that is not common.],student,9,0,,0.0,,[لا يمكن سماعها] [للوصول إلى رقم غير شائع.],[لا يمكن سماعها] [للوصول الي رقم غير شائع.],8,0.0,False
No.  I want the simplest fraction.  Simple means breaking it down to the smallest possible numbers.  I don’t want to make it bigger.  That’s finding an equivalent fraction.  I want to break it down to simple form.  Simple.   What does simple mean?  Student L?,teacher,44,2,0.0,,1.0,لا. أريد أبسط كسر. بسيط يعني تقسيمها إلى أصغر الأرقام الممكنة. أنا لا أريد أن تجعلها أكبر. هذا هو العثور على كسر معادلة. أريد تقسيمها إلى شكل بسيط. بسيط. ماذا يعني بسيط؟ الطالب L؟,لا. اريد ابسط كسر. بسيط يعني تقسيمها الي اصغر الارقام الممكنه. انا لا اريد ان تجعلها اكبر. هذا هو العثور علي كسر معادله. اريد تقسيمها الي شكل بسيط. بسيط. ماذا يعني بسيط؟ الطالب L؟,34,0.029411764705882353,True
Easiest.,student,1,0,,,,أسهل شيء,اسهل شيء,2,0.0,False
"Easiest.  Plain.  Okay?  We don’t want to make it harder.  We could keep going.  You could have hundreds of equivalent fractions but we’re trying to find the very small little fraction, simplest form.  So, what can we do here?  What number can we divide by?  Student J?",teacher,47,4,,,0.0,أسهل. بسيط. حسناً؟ لا نريد أن نجعل الأمر أكثر صعوبة. يمكننا الاستمرار. يمكنك الحصول على مئات الكسور المتكافئة ولكننا نحاول العثور على الكسور الصغيرة جداً، أسهل شكل. لذا، ماذا يمكننا أن نفعل هنا؟ ما هو الرقم الذي يمكننا تقسيمه؟ الطالب J؟,اسهل. بسيط. حسنا؟ لا نريد ان نجعل الامر اكثر صعوبه. يمكننا الاستمرار. يمكنك الحصول علي مئات الكسور المتكافئه ولكننا نحاول العثور علي الكسور الصغيره جدا، اسهل شكل. لذا، ماذا يمكننا ان نفعل هنا؟ ما هو الرقم الذي يمكننا تقسيمه؟ الطالب J؟,41,0.0,False
[Inaudible] by one.,student,3,0,,,,[غير مسموع] من قبل واحد.,[غير مسموع] من قبل واحد.,5,0.0,False
What happens when we divide anything by one?,teacher,8,1,,,0.0,ماذا يحدث عندما نقسم أي شيء بواحد؟,ماذا يحدث عندما نقسم اي شيء بواحد؟,7,0.0,False
It’s still the same.,student,4,0,,,,لا تزال نفسها,لا تزال نفسها,3,0.0,False
"Student J, what happens when we divide anything by one?",teacher,10,1,,,1.0,الطالب جي، ماذا يحدث عندما نقسم أي شيء واحد؟,الطالب جي، ماذا يحدث عندما نقسم اي شيء واحد؟,9,0.0,False
It stays the same.,student,4,0,,,,انها تبقى نفسها.,انها تبقي نفسها.,3,0.0,False
"It stays the same.  So, if we divide three fifths by one, guess what answer we come up with?",teacher,19,1,,,0.0,فإنه يبقى كما هو، لذا، إذا قمنا بتقسيم ثلاثة الخامسة بمقدار واحد، تخمين ما هي الإجابة التي سنحصل عليها؟,فانه يبقي كما هو، لذا، اذا قمنا بتقسيم ثلاثه الخامسه بمقدار واحد، تخمين ما هي الاجابه التي سنحصل عليها؟,19,0.05263157894736842,True
Three fifths.,student,2,0,,,,ثلاثة الخامسة,ثلاثه الخامسه,2,0.5,True
"Three fifths.  So then, is it in its simplest form?",teacher,10,0,,,0.0,إذاً، هل هي في أبسط شكلها؟,اذا، هل هي في ابسط شكلها؟,6,0.0,False
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"When you cannot divide any more, when you’re all the way down to dividing by one that means it’s in its simplest form and you don’t need to do any more.  ‘Cause some of you, when I gave you problems last time you had three fits and you’re like, “Well, there isn’t a number that goes into three and into five.”  And I’m like, “Exactly.  What does that mean?” You’re like.  Two?  When you get to the point where you’re dividing by one, you’re done.  Questions on that?",teacher,88,1,,,0.0,عندما لا تستطيعين الانقسام بعد الآن، عندما تكونين حتى الانقسام بمقدار واحد فهذا يعني أنه في أبسط شكله ولا تحتاجين للقيام بمزيد من ذلك. لأن بعضكم، عندما أعطيتكم المشاكل في المرة الماضية كنتم تعاني من ثلاث نوبات وكنتم مثل، حسناً، لا يوجد عدد يذهب إلى ثلاثة إلى خمسة. وأنا مثل، بالضبط. ماذا يعني هذا؟ أنت مثل. اثنان؟ عندما تصلين إلى نقطة حيث كنتم تقسمين بمقدار واحد، انتم قد انتهوا من الأسئلة حول ذلك؟,عندما لا تستطيعين الانقسام بعد الان، عندما تكونين حتي الانقسام بمقدار واحد فهذا يعني انه في ابسط شكله ولا تحتاجين للقيام بمزيد من ذلك. لان بعضكم، عندما اعطيتكم المشاكل في المره الماضيه كنتم تعاني من ثلاث نوبات وكنتم مثل، حسنا، لا يوجد عدد يذهب الي ثلاثه الي خمسه. وانا مثل، بالضبط. ماذا يعني هذا؟ انت مثل. اثنان؟ عندما تصلين الي نقطه حيث كنتم تقسمين بمقدار واحد، انتم قد انتهوا من الاسئله حول ذلك؟,73,0.0273972602739726,True
No.,multiple students,1,0,,,,-كلا .,-كلا .,1,0.0,False
Questions on anything we’ve done so far?,teacher,7,0,,,0.0,أسئلة عن أي شيء فعلناها حتى الآن؟,اسئله عن اي شيء فعلناها حتي الان؟,7,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
You sure?  Positive?,teacher,3,0,,,0.0,هل أنت متأكد؟,هل انت متاكد؟,3,0.0,False
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
