text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic,session_id
"Add another 16, so 16 times 2 is 32, and then add another 16, to get to 48.  Did anybody do it a different way?  Student H?  Student H, can you come over here?  Student H?",teacher,36,2,1.0,,1.0,إضافة 16 آخر، لذلك 16 ضرب 2 هو 32، ثم إضافة 16 آخر، للوصول إلى 48. هل فعل أي شخص ذلك بطريقة مختلفة؟ الطالب H؟ الطالب H، هل يمكنك القدوم إلى هنا؟ الطالب H؟,اضافه 16 اخر، لذلك 16 ضرب 2 هو 32، ثم اضافه 16 اخر، للوصول الي 48. هل فعل اي شخص ذلك بطريقه مختلفه؟ الطالب H؟ الطالب H، هل يمكنك القدوم الي هنا؟ الطالب H؟,29,0.088235294117647,True,3
3 times 10?,student,3,0,,,,ثلاث مرات عشرة؟,ثلاث مرات عشره؟,3,0.0,False,3
"3 times 10.  [Inaudible] the same direction, so we keep it straight. 10 times 3.  Can I do that?  Okay.  Equals –?",teacher,22,0,,,0.0,3 × 10. [غير مسموع] نفس الاتجاه، لذلك نحن نبقى مستقيم. 10 × 3. هل يمكنني القيام بذلك؟ حسنا. يساوي ؟,3 × 10. [غير مسموع] نفس الاتجاه، لذلك نحن نبقي مستقيم. 10 × 3. هل يمكنني القيام بذلك؟ حسنا. يساوي ؟,15,0.0476190476190476,True,3
Equals 30.  And 6 times 3.,student,6,0,,,,يساوي 30 و 6 × 3,يساوي 30 و 6 × 3,2,0.1666666666666666,True,3
6 times 3 equals –?,teacher,5,0,1.0,,0.0,6 × 3 يساوي ؟,6 × 3 يساوي ؟,2,0.2,True,3
18.,student,1,0,,,,18.,18.,0,0.0,False,3
18.  Then?,teacher,2,0,,,0.0,-ثم ماذا؟,-ثم ماذا؟,2,0.0,False,3
"Add the 30 to 18, equals 48.",student,7,1,,,,إضافة 30 إلى 18 يساوي 48.,اضافه 30 الي 18 يساوي 48.,3,0.3333333333333333,True,3
"30 plus 18 is 48.  In terms of rows and candy bars, what’s the 10 represent, Student C?  This was 16 rows and this was 3 candy bars in each row.",teacher,31,0,1.0,,0.0,30 + 18 = 48 من حيث الصفوف والحلوى، ما هو 10 يمثل، الطالب C؟ هذا كان 16 صفوف وهذا كان 3 حلوى في كل صف.,30 + 18 = 48 من حيث الصفوف والحلوي، ما هو 10 يمثل، الطالب C؟ هذا كان 16 صفوف وهذا كان 3 حلوي في كل صف.,18,0.0,False,3
10 rows.,student,2,0,,,,عشرة صفات,عشره صفات,2,0.5,True,3
10 rows of candy bars.,teacher,5,0,,,0.0,عشرة صفوف من الحلوى.,عشره صفوف من الحلوي.,4,0.25,True,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
3 in each.  And then what’s this 6 represent?,teacher,9,0,,,0.0,3 في كل واحد. ثم ماذا يمثل هذا 6؟,3 في كل واحد. ثم ماذا يمثل هذا 6؟,8,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
"How much what?  Student B?  We have 16 rows of candy bars, 3 in each.  We have 10 rows of candy bars, 3 in each.  6 more rows of candy bars with 3 in each.  Okay.  So if we drew a picture – here’s a row of candy bars.  I’m not going to draw all 16, but I have 3 candy bars in each row.  Okay. What would change if we had 16 times 6?  How would the story context change?  Student A?",teacher,83,0,,,1.0,كم؟ الطالب ب؟ لدينا 16 صف من الحلوى، 3 في كل. لدينا 10 صف من الحلوى، 3 في كل. لدينا 6 صفات أخرى من الحلوى مع 3 في كل. حسناً. إذاً إذا رسمنا صورة  هنا  صف من الحلوى. أنا لن ارسم جميع 16، ولكن لدي 3 حلوى في كل صف. حسناً. ماذا سيتغير إذا كان لدينا 16 × 6؟ كيف سيتغير السياق القصة؟ الطالب أ؟,كم؟ الطالب ب؟ لدينا 16 صف من الحلوي، 3 في كل. لدينا 10 صف من الحلوي، 3 في كل. لدينا 6 صفات اخري من الحلوي مع 3 في كل. حسنا. اذا اذا رسمنا صوره هنا صف من الحلوي. انا لن ارسم جميع 16، ولكن لدي 3 حلوي في كل صف. حسنا. ماذا سيتغير اذا كان لدينا 16 × 6؟ كيف سيتغير السياق القصه؟ الطالب ا؟,56,0.0,False,3
You’d just have more candy bars in each row.,student,9,0,,0.0,,سيكون لديك المزيد من الحلوى في كل صف,سيكون لديك المزيد من الحلوي في كل صف,8,0.0,False,3
And how many would you have in each row?,teacher,9,0,1.0,,1.0,وكم ستحصل عليه في كل صف؟,وكم ستحصل عليه في كل صف؟,6,0.0,False,3
6.,student,1,0,,,,6 .,6 .,0,0.0,False,3
"So now we have 6 in each row, twice as much as Student C said before.  What changes?  If the number of candy bars in each row changes, what else changes?",teacher,31,0,,,1.0,الآن لدينا 6 في كل صف، ضعف ما قاله الطالب C من قبل. ما الذي يتغير؟ إذا كان عدد الحلوى في كل صف يتغير، ما الذي يتغير آخر؟,الان لدينا 6 في كل صف، ضعف ما قاله الطالب C من قبل. ما الذي يتغير؟ اذا كان عدد الحلوي في كل صف يتغير، ما الذي يتغير اخر؟,26,0.0,False,3
The total?,student,2,1,,,,الإجمالي؟,الاجمالي؟,1,0.0,False,3
"The total number of what?  Of candy bars, chocolate bars, right?  And what is that going to be?",teacher,18,1,,,0.0,العدد الإجمالي من الشوكولاتة والشوكولاتة، أليس كذلك؟,العدد الاجمالي من الشوكولاته والشوكولاته، اليس كذلك؟,7,0.0,False,3
It’s going to be 6.,student,5,0,,,,سوف يكون 6.,سوف يكون 6.,2,0.0,False,3
"It’s going to be 6, double 48.  Okay, 96 candy bars.  So now instead of 3 in each row, we have 6 in each row.  You could also be talking like we did last week about Miss S’ apples, right?  We could have 16 apples in each box, and we have 3 boxes.  Or we could have 3 apples in a box, 16 boxes, right?  All right.  Any other ways that you can show this 16 times 3, and then you double that, that factor, and you get twice as many candy bars or apples or whatever it is.  Student C, can you sit up, please?  Any other way to show that?  Anybody represent it a different way?  Student E?",teacher,120,0,1.0,,0.0,يمكن أن يكون لدينا 16 تفاحة في كل مربع، ونحن لدينا 3 صناديق، 16 صناديق، حسناً. أي طريقة أخرى يمكنك أن تظهر هذا 16 ضرب 3، ثم تضاعف ذلك، هذا العامل، وتحصل على ضعف عدد صناديق الحلوى أو التفاح أو ما هو عليه. الطالب C، هل يمكنك الجلوس، من فضلك؟ أي طريقة أخرى لإظهار ذلك؟ أي شخص يمثل ذلك بطريقة مختلفة؟ الطالب E؟,يمكن ان يكون لدينا 16 تفاحه في كل مربع، ونحن لدينا 3 صناديق، 16 صناديق، حسنا. اي طريقه اخري يمكنك ان تظهر هذا 16 ضرب 3، ثم تضاعف ذلك، هذا العامل، وتحصل علي ضعف عدد صناديق الحلوي او التفاح او ما هو عليه. الطالب C، هل يمكنك الجلوس، من فضلك؟ اي طريقه اخري لاظهار ذلك؟ اي شخص يمثل ذلك بطريقه مختلفه؟ الطالب E؟,59,0.0158730158730158,True,3
Like [inaudible].  And then I just added it.  [Inaudible] so I can do 2 times 8 is 16.,student,18,0,,0.0,,مثل [غير مسموع] ثم أضفتها فقط. [غير مسموع] حتى أستطيع أن أفعل 2 × 8 هو 16.,مثل [غير مسموع] ثم اضفتها فقط. [غير مسموع] حتي استطيع ان افعل 2 × 8 هو 16.,13,0.0,False,3
"Okay.  You’re giving me another strategy.  What I’m asking for is another way to show, to represent 16 times 3 and 16 times 6, to show that it doubles, the answer doubles.  Did anybody use an array?  You didn’t?",teacher,39,1,1.0,,1.0,"حسناً. أنت تعطيني استراتيجية أخرى. ما أطلبه هو طريقة أخرى لإظهارها، لتمثيل 16 × 3 و 16 × 6, لإظهار أنها تضاعف، الإجابة تضاعف.","حسنا. انت تعطيني استراتيجيه اخري. ما اطلبه هو طريقه اخري لاظهارها، لتمثيل 16 × 3 و 16 × 6, لاظهار انها تضاعف، الاجابه تضاعف.",18,0.0,False,3
No.  [We guessed.],student,3,0,,,,لا. [لقد خمنا.],لا. [لقد خمنا.],3,0.0,False,3
For that one?,teacher,3,0,,,0.0,من أجل هذا؟,من اجل هذا؟,3,0.0,False,3
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,3
"That’s a different one, right.  Which one did you show for that one?",teacher,13,0,,,0.0,هذا مختلف، أليس كذلك، أيّ واحد أظهرت لهذه؟,هذا مختلف، اليس كذلك، اي واحد اظهرت لهذه؟,8,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
"Let’s look at an array for 16 times 3 and 16 times 6.  You can use centimeter paper to do that, and you have one of those. You did [inaudible] on here, or you’ll just want to draw one.  Just want to draw one without this, on the board? Okay.  Now explain to us what you’re doing as you draw. Can you reach?  Make it big enough so that we can see. Thank you.",teacher,74,2,,,0.0,دعونا ننظر إلى صف لمدة 16 × 3 و 16 × 6. يمكنك استخدام ورق سنتيمتر للقيام بذلك، لديك واحدة من تلك. لقد فعلت [غير مسموعة] على هنا، أو سوف تريد فقط رسم واحد. فقط تريد رسم واحد دون هذا، على اللوح؟ حسنا. الآن شرح لنا ما كنت تفعل عندما ترسم. هل يمكنك الوصول؟ جعله كبير بما فيه الكفاية حتى نرى. شكرا.,دعونا ننظر الي صف لمده 16 × 3 و 16 × 6. يمكنك استخدام ورق سنتيمتر للقيام بذلك، لديك واحده من تلك. لقد فعلت [غير مسموعه] علي هنا، او سوف تريد فقط رسم واحد. فقط تريد رسم واحد دون هذا، علي اللوح؟ حسنا. الان شرح لنا ما كنت تفعل عندما ترسم. هل يمكنك الوصول؟ جعله كبير بما فيه الكفايه حتي نري. شكرا.,56,0.0161290322580645,True,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
Okay.  Tell us what you have.,teacher,6,0,,,1.0,حسناً، أخبرنا ما لديك,حسنا، اخبرنا ما لديك,4,0.0,False,3
16 [inaudible].,student,2,0,,,,16 [غير مسموع].,16 [غير مسموع].,2,0.0,False,3
I can’t hear you.,teacher,4,0,,,0.0,لا أستطيع سماعك,لا استطيع سماعك,3,0.0,False,3
16 times 3 [inaudible].,student,4,0,,,,16 × 3 [غير مسموع].,16 × 3 [غير مسموع].,2,0.0,False,3
You do?  I see a 6 by 13.,teacher,8,0,,,0.0,أنا أرى 6 على 13,انا اري 6 علي 13,3,0.0,False,3
Oh.,student,1,0,,,,-أوه .,-اوه .,1,0.0,False,3
"I see a 6 by 3 array.  Okay.  So there’s a 16 by 3 array.  Then the 16 by 6? Okay.  Thank you.  Have a seat.  Good job.  I’m going to make this a little bigger on this side, so it matches up.  Is that okay?  Can somebody show us – see what he’s doing? He’s taking 16 by 3, doubling that to make it 16 by 6.  Can anybody show us where the 16 by 3 array is inside the 16 by 6 array?  I have the same hands up.  Student B?  Everybody look at it.  See if you can find the 16 by 3 array inside the 16 by 6, and how you could show it to us.",teacher,120,5,,,0.0,أرى صف من 6 إلى 3، حسناً، وهناك صف من 16 إلى 3، ثم صف من 16 إلى 6؟ حسناً، شكراً. اجلس. عمل جيد. سأجعل هذا أكبر قليلاً من هذا الجانب، حتى يتطابق. هل هذا جيد؟ هل يمكن لأحد أن يظهر لنا ماذا يفعل؟ هو يأخذ 16 إلى 3، ويضاعف ذلك ليجعله 16 إلى 6؟ هل يمكن لأحد أن يظهر لنا أين صف من 16 إلى 3 هو داخل صف من 16 إلى 6؟ لدي نفس اليدين إلى الأعلى. الطالب ب؟ انظروا جميعاً إليه. انظروا إذا كان بإمكانكم العثور على صف من 16 إلى 3 داخل صف من 16 إلى 6، وكيف يمكن أن ترونه لنا.,اري صف من 6 الي 3، حسنا، وهناك صف من 16 الي 3، ثم صف من 16 الي 6؟ حسنا، شكرا. اجلس. عمل جيد. ساجعل هذا اكبر قليلا من هذا الجانب، حتي يتطابق. هل هذا جيد؟ هل يمكن لاحد ان يظهر لنا ماذا يفعل؟ هو ياخذ 16 الي 3، ويضاعف ذلك ليجعله 16 الي 6؟ هل يمكن لاحد ان يظهر لنا اين صف من 16 الي 3 هو داخل صف من 16 الي 6؟ لدي نفس اليدين الي الاعلي. الطالب ب؟ انظروا جميعا اليه. انظروا اذا كان بامكانكم العثور علي صف من 16 الي 3 داخل صف من 16 الي 6، وكيف يمكن ان ترونه لنا.,95,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
"Can you label it for us?  Okay.  So what did Student B do? Somebody explain that, to show us the 16 by 3 array.",teacher,24,1,,,1.0,حسناً، ماذا فعل الطالب ب؟ فليفسر أحدكم ذلك، ليظهر لنا المصفوفة 16×3,حسنا، ماذا فعل الطالب ب؟ فليفسر احدكم ذلك، ليظهر لنا المصفوفه 16×3,11,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
"So just like the 48 is half of 96, 3 is half of 6.  She showed the 16 by 3, and then she could label the other side too, right?  16 by 3 again, so that the total is 16 by 6.  Is the number smaller [inaudible]?",teacher,47,1,,,0.0,لذا تماماً مثل 48 هو نصف 96، 3 هو نصف 6، أظهرت 16 ب 3، ثم يمكنها وضع علامة على الجانب الآخر أيضاً، صحيح؟ 16 ب 3 مرة أخرى، بحيث يكون الإجمالي 16 ب 6، هل الرقم أصغر؟,لذا تماما مثل 48 هو نصف 96، 3 هو نصف 6، اظهرت 16 ب 3، ثم يمكنها وضع علامه علي الجانب الاخر ايضا، صحيح؟ 16 ب 3 مره اخري، بحيث يكون الاجمالي 16 ب 6، هل الرقم اصغر؟,32,0.0526315789473684,True,3
Yeah.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,3
"Same idea, right? So we have one of these, and make two together can make one of the 16 by 6s, right?  Or if you take this and divide it up into half, you have one of the 16 by 3s.  Very good.  What does this represent in terms of, let’s say, apples and rows, or apples and crates, Miss S?  Student M?",teacher,63,1,,,0.0,نفس الفكرة، أليس كذلك؟ إذن لدينا واحدة من هذه، وإضافة اثنين معا يمكن أن تجعل واحدة من 16 على 6s، أليس كذلك؟ أو إذا كنت تأخذ هذا وقسمها إلى النصف، لديك واحدة من 16 على 3s. جيد جدا. ماذا يمثل هذا من حيث، دعنا نقول، التفاح والصفوف، أو التفاح والصناديق، الآنسة S؟ الطالب M؟,نفس الفكره، اليس كذلك؟ اذن لدينا واحده من هذه، واضافه اثنين معا يمكن ان تجعل واحده من 16 علي 6s، اليس كذلك؟ او اذا كنت تاخذ هذا وقسمها الي النصف، لديك واحده من 16 علي 3s. جيد جدا. ماذا يمثل هذا من حيث، دعنا نقول، التفاح والصفوف، او التفاح والصناديق، الانسه S؟ الطالب M؟,51,0.0,False,3
"16 rows, 3 apples in each.",student,6,0,,,,16 صف، 3 تفاحة في كل.,16 صف، 3 تفاحه في كل.,4,0.0,False,3
"16 rows, 3 apples in each row.  What would this one be, then? Student O?",teacher,15,0,1.0,,0.0,16 صف، 3 تفاحة في كل صف، ما هذا إذاً؟ الطالب O؟,16 صف، 3 تفاحه في كل صف، ما هذا اذا؟ الطالب O؟,10,0.0,False,3
"16 rows, 6 apples each?",student,5,0,,,,16 صف، 6 تفاحة لكل؟,16 صف، 6 تفاحه لكل؟,3,0.0,False,3
"16 rows, 6 apples in each.  Okay.  Let’s take a look at another one. Okay.  We have 15 times 8, and which number is this?",teacher,25,0,1.0,,0.0,16 صف، 6 تفاحة في كل. حسناً. دعونا نلقي نظرة على واحدة أخرى. حسناً. لدينا 15 × 8، وما هو هذا الرقم؟,16 صف، 6 تفاحه في كل. حسنا. دعونا نلقي نظره علي واحده اخري. حسنا. لدينا 15 × 8، وما هو هذا الرقم؟,18,0.0,False,3
[Half.],student,1,0,,,,[نصف.],[نصف.],1,0.0,False,3
[F?],teacher,1,0,,,0.0,[F?],[F?],0,0.0,False,3
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,3
"Okay.  15 times 8 and 30 times 4.  What about these two problems.  How did you solve these?  Same hands.  Oh, there we go.  A new one.  Student C?",teacher,29,0,,,1.0,حسناً، 15 × 8 و 30 × 4 ماذا عن هذه المشاكل؟ كيف حللتها؟ نفس اليدين. ها نحن ذا. واحدة جديدة. الطالب C؟,حسنا، 15 × 8 و 30 × 4 ماذا عن هذه المشاكل؟ كيف حللتها؟ نفس اليدين. ها نحن ذا. واحده جديده. الطالب C؟,17,0.0,False,3
"For 15 times 8 I did 10 times 8, which is 80, and then I did 5 times 8, which is 40, and then I did 80 plus 40, which is 120.",student,32,0,,0.0,,لـ 15 × 8 قمت بـ 10 × 8 ، وهو 80 ، ثم قمت بـ 5 × 8 ، وهو 40 ، ثم قمت بـ 80 + 40 ، وهو 120.,ل 15 × 8 قمت ب 10 × 8 ، وهو 80 ، ثم قمت ب 5 × 8 ، وهو 40 ، ثم قمت ب 80 + 40 ، وهو 120.,17,0.0,False,3
"Very good.  Did everybody hear that?  10 times 8, 80; 5 times 8, 40; 80 plus 40 equals 120.  What about the other one? What did you do for that one?  Student H?",teacher,33,0,1.0,,1.0,"جيد جدا. هل سمع الجميع ذلك؟ 10 × 8, 80؛ 5 × 8, 40؛ 80 + 40 = 120. ماذا عن الآخر؟ ماذا فعلت لهذا؟ الطالب H؟","جيد جدا. هل سمع الجميع ذلك؟ 10 × 8, 80؛ 5 × 8, 40؛ 80 + 40 = 120. ماذا عن الاخر؟ ماذا فعلت لهذا؟ الطالب H؟",16,0.0,False,3
30 times 4 is 120.,student,5,0,,,,30 × 4 = 120,30 × 4 = 120,0,0.0,False,3
How did you do that one?,teacher,6,0,0.0,,1.0,كيف فعلت ذلك؟,كيف فعلت ذلك؟,3,0.0,False,3
"Because 4 times 20 equals 80, and 80 plus 4 plus [inaudible], and the 30 equals 40, and 80 plus 40 is 120.",student,23,0,,1.0,,لأن 4 × 20 يساوي 80، و 80 زائد 4 زائد، و 30 يساوي 40، و 80 زائد 40 هو 120.,لان 4 × 20 يساوي 80، و 80 زائد 4 زائد، و 30 يساوي 40، و 80 زائد 40 هو 120.,12,0.1904761904761904,True,3
"Okay.  4 times 20, 80; 4 times 10 is 40; 80 plus 40 is 120. Very good.  Anybody do it a different way?  Student S?",teacher,25,0,1.0,,1.0,"حسناً، 4 × 20, 80؛ 4 × 10 = 40؛ 80 + 40 = 120.","حسنا، 4 × 20, 80؛ 4 × 10 = 40؛ 80 + 40 = 120.",3,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
